ID::ID!!I,ImageDocumentName::Image Name,ImageSceneContainerName::Image Scene Container Name ,ImageChannelName::Image Channel Name,RegionsCount::Count!!I,RegionsArea::Area!!R,RegionsIntensityMean_Cy3-T1::Intensity Mean Value of channel 'Cy3-T1'!!R,RegionsIntensitySum1_Cy3-T1::Intensity Sum of channel 'Cy3-T1'!!R,ParentID::ID of the parent!!I
,,,,#,µm²,Gray,Gray,
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,0,,,,
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,1,,,,
3,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,1.068801707,366.6551724,10633,2
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,0,,,,
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,0,,,,
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,5,,,,
7,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,3.796088823,437.0679612,45018,2
12,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,8.882110741,840.3360996,202521,3
16,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,4.57004868,621.6854839,77089,4
19,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,7.113059639,668.6683938,129053,5
23,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,8.108150884,1095.15,240933,6
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,2,,,,
4,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,5.196587612,530.8297872,74847,2
7,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,5,5.086021918,528.1449275,72884,3
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,16,,,,
18,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,4.422627755,680.5416667,81665,2
21,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,5,13.12046234,517.7696629,184326,3
27,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,0,0,0,0,4
28,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,5,15.36863145,649.17506,270706,5
34,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,0.184276156,376.6,1883,6
36,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,1.732195871,450.4255319,21170,7
38,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,5.601995156,562.4473684,85492,8
41,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,3.869799286,459.0285714,48198,9
44,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,8.476703197,722.2521739,166118,10
49,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,7,10.46688569,521.1197183,147998,11
57,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,12.53077864,762.0558824,259099,12
62,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,2.800997578,446.6710526,33947,13
65,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,5.122877149,860.2517986,119575,14
68,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,9,11.4251217,513.1580645,159079,15
78,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,2.764142347,660.8666667,49565,16
80,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,7.076204408,1106.770833,212500,17
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,11,,,,
13,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,3.206405122,410.2183908,35689,2
16,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,1.289933095,407.3428571,14257,3
18,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,7.481611952,498.3940887,101174,4
23,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,4.533193449,448.5528455,55172,5
27,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,1.732195871,414.5744681,19485,6
29,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,5.749416081,493.025641,76912,7
33,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,2.690431884,449.0273973,32779,8
36,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,9.398083979,604.3019608,154097,9
41,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,4.27520683,435.3017241,50495,10
46,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,9,9.619215367,398.7011494,104061,11
56,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,5.71256085,389.4774194,60369,12
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,0,,,,
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,0,,,,
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,5,,,,
7,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,4.385772524,567.2436975,67502,2
11,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,4.717469605,522.25,66848,3
16,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,5,12.93618618,463.8091168,162797,4
22,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,4.238351598,618.0347826,71074,5
26,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,5.896837007,703.6375,112582,6
1,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",B2,DAPI-T2,32,,,,
34,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,9.471794442,618.3190661,158908,2
38,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,10.94600369,575.1784512,170828,3
43,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,6,10.72487231,600.2989691,174687,4
50,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,1.805906333,452.0408163,22150,5
54,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,3.796088823,846.2718447,87166,6
57,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,5,8.145006115,550.0045249,121551,7
63,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,4.127785905,841.3035714,94226,8
66,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,2.137603415,522.0517241,30279,9
69,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,7.813309034,701.1415094,148642,10
73,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,3,6.081113163,510.0121212,84152,11
77,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,2.948418503,534.2125,42737,12
79,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,4,8.808400278,651.0753138,155607,13
84,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,1,2.469300496,618.7761194,41458,14
86,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,2.911563272,437.0632911,34528,15
89,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,6,15.47919714,519.1904762,218060,16
96,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,5,5.454574231,464.2162162,68704,17
102,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,6.56023117,519.8651685,92536,18
105,"Experiment-64-Airyscan Processing-01 - ALYREF, NSUN2, R2 repeat.czi",,Cy3-T1,2,9.066386898,621.7235772,152944,19
